Jornada,Rival,Condición,Fecha,Minuto,Periodo,Acción,Equipo,Ejecutor,Zona Saque,Zona Remate,x_saque,y_saque,x_remate,y_remate,Primer Contacto,Parte Cuerpo,Segundo Contacto,Gol,Resultado,Perfil,Estrategia,Tipo Ejecución
Rueda 1,Vancouver FC,Local,4/18/2025,24,1T,Córner,Cavalry FC,Ali Musse,2,11,120,80,105,45,Opponent,Pie,,No,Despeje,Hábil,Sí,Pase corto
Rueda 1,Vancouver FC,Local,4/18/2025,42,1T,Córner,Cavalry FC,Ali Musse,2,7,120,80,114,40,Opponent,Otro,,No,Despeje,Hábil,No,Centro
Rueda 1,Vancouver FC,Local,4/18/2025,69,2T,Córner,Cavalry FC,Fraser Aird,1,7,120,0,114,40,Opponent,Pie,,No,Posesión rival,Hábil,No,Centro
Rueda 1,Vancouver FC,Local,4/18/2025,75,2T,Córner,Cavalry FC,Ali Musse,2,10,120,80,105,35,Opponent,Pie,Shamit Shome,No,Despeje,Hábil,No,Centro
Rueda 1,Vancouver FC,Local,4/18/2025,88,2T,Córner,Cavalry FC,Fraser Aird,1,7,120,0,114,40,Opponent,Otro,Opponent,No,Despeje,Hábil,No,Centro
Rueda 1,Vancouver FC,Local,4/18/2025,89,2T,Córner,Cavalry FC,Ali Musse,2,7,120,80,114,40,Opponent,Otro,Michael Baldisimo,No,Despeje,Hábil,No,Centro
Rueda 1,Vancouver FC,Local,4/18/2025,21,1T,Tiro libre,Cavalry FC,Tobias Warschewski,14,7,93,29,114,40,Opponent,Otro,,No,Disparo al arco,Hábil,No,Disparo directo
Rueda 1,Vancouver FC,Local,4/18/2025,45,2T,Tiro libre,Cavalry FC,Ali Musse,4,12,93,71,105,25,Opponent,Cabeza,,No,Despeje,Hábil,No,Centro
Rueda 1,Vancouver FC,Local,4/18/2025,91,2T,Tiro libre,Cavalry FC,Michael Baldisimo,16,11,72,20,105,45,Opponent,Otro,,No,Gol,Hábil,No,Centro
Rueda 1,Vancouver FC,Local,4/18/2025,4,1T,Córner,Rival,Rival,1,5,120,0,114,30,Callum Montgomery,Cabeza,,No,Despeje,Hábil,Sí,Centro
Rueda 1,Vancouver FC,Local,4/18/2025,26,1T,Córner,Rival,Rival,2,10,120,80,105,35,Opponent,Pie,,No,Disparo al arco,Hábil,No,Centro
Rueda 1,Vancouver FC,Local,4/18/2025,31,1T,Córner,Rival,Rival,1,13,120,0,105,55,Opponent,Otro,,No,Posesión rival,Hábil,Sí,Centro
Rueda 1,Vancouver FC,Local,4/21/2025,70,2T,Córner,Rival,Rival,1,11,120,0,105,45,Caniggia Elva,Cabeza,,No,Despeje,Hábil,No,Centro
Rueda 1,Vancouver FC,Local,4/18/2025,71,2T,Córner,Rival,Rival,2,7,120,80,114,40,Opponent,Pie,,No,Posesión rival,Hábil,Sí,Pase corto
Rueda 1,Vancouver FC,Local,4/18/2025,82,2T,Córner,Rival,Rival,2,11,120,80,105,45,Opponent,Cabeza,Opponent,No,Disparo desviado,Hábil,No,Centro
Rueda 1,Vancouver FC,Local,4/18/2025,83,2T,Córner,Rival,Rival,1,10,120,0,105,35,Opponent,Cabeza,Nicolas Wähling,No,Despeje,Hábil,No,Centro
Rueda 1,Vancouver FC,Local,4/18/2025,91,2T,Córner,Rival,Rival,2,11,120,80,105,45,Maël Henry,Cabeza,,No,Despeje,Hábil,No,Centro
Rueda 1,Vancouver FC,Local,4/18/2025,1,1T,Tiro libre,Rival,Rival,16,7,72,20,114,40,Marco Carducci,Otro,,No,Posesión rival,Hábil,No,Centro
