Round,Date,Local/Visit,Cavalry/Opponent,Team,Position,Player,Photo,Minutes played,Goals,Assists,Saves,Goal Against,heatmap
1,4/5/2025,Visit,Forge,Cavalry,GK,Carducci,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04130741/CFC_MARCO-CARDUCCI_318x530.png,90,0,0,3,1,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/cavalry/carducci-4-5.png
1,4/5/2025,Visit,Forge,Cavalry,RB,Field,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04133104/CFC_TOM-FIELD_318-x-530.png,90,0,0,0,0,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/cavalry/field-4-5.png
1,4/5/2025,Visit,Forge,Cavalry,DF,Aird,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04125814/CFC_FRASER-AIRD_318x530.png,90,0,0,0,0,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/cavalry/aird-4-5.png
1,4/5/2025,Visit,Forge,Cavalry,DF,Montgomery,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04125254/CFC_CALLUM-MONTGOMERY_318x530.png,90,0,0,0,0,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/cavalry/montgomery-4-5.png
1,4/5/2025,Visit,Forge,Cavalry,LB,Kamdem,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04125155/CFC_BRADLEY-KAMDEM-FEWO_318x530.png,77,0,0,0,0,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/cavalry/kamdem-4-5.png
1,4/5/2025,Visit,Forge,Cavalry,DMF,Shome,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04133016/CFC_SHAMIT-SHOME_318x530.png,77,0,0,0,0,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/cavalry/shome-4-5.png
1,4/5/2025,Visit,Forge,Cavalry,DMF,Myroniuk,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04132654/CFC_NIKO-MYRONIUK_318x530.png,65,0,0,0,0,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/cavalry/myroniuk-4-5.png
1,4/5/2025,Visit,Forge,Cavalry,RW,Musse,https://cdn.canpl.ca/app/uploads/cpl/2025/04/02123648/CFC_ALI-MUSSE_318x530.png,90,0,0,0,0,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/cavalry/musse-4-5.png
1,4/5/2025,Visit,Forge,Cavalry,MF,Camargo,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04132916/CFC_SERGIO-CAMARGO_318x530.png,90,0,0,0,0,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/cavalry/camargo-4-5.png
1,4/5/2025,Visit,Forge,Cavalry,LW,Herdman,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04130017/CFC_JAY-HERDMAN_318x530.png,65,0,0,0,0,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/cavalry/herdman-4-5.png
1,4/5/2025,Visit,Forge,Cavalry,CF,Warschewski,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04133101/CFC_TOBIAS-WARSCHEWSKI_318x530.png,90,0,0,0,0,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/cavalry/warschewski-4-5.png
1,4/5/2025,Visit,Forge,Cavalry,LW,Wahling,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04132052/CFC_NICHOLAS-WAHLING_318x530.png,25,0,0,0,0,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/cavalry/wahling-4-5.png
1,4/5/2025,Visit,Forge,Cavalry,DF,Baldisimo,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04131115/CFC_MICHAEL-BALDISIMO_318x530.png,25,0,0,0,0,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/cavalry/baldisimo-4-5.png
1,4/5/2025,Visit,Forge,Cavalry,LB,Gherasimencov,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04131716/CFC_MIHAIL-GHERASIMENCOV_318x530.png,13,0,0,0,0,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/cavalry/gherasimencov-4-5.png
1,4/5/2025,Visit,Forge,Cavalry,CF,Elva,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04125357/CFC_CANIGGIA-ELVA_318x530.png,13,0,0,0,0,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/cavalry/elva-4-5.png
1,4/18/2025,Local,Vancouver FC,Cavalry,DF,Aird,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04125814/CFC_FRASER-AIRD_318x530.png,90,0,0,0,0,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/cavalry/aird-4-18.png
1,4/18/2025,Local,Vancouver FC,Cavalry,DF,Baldisimo,https://cdn.canpl.ca/app/uploads/cpl/2025/04/04131115/CFC_MICHAEL-BALDISIMO_318x530.png,45,0,0,0,0,https://raw.githubusercontent.com/felipeorma/heatmap/main/heatmap/cavalry/baldisimo-4-18.png
